Unnamed: 0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant,Is Gap Direct_False,Is Gap Direct_True,Is Metal_False,Is Metal_True
39,True,,,,,71,4,0.9407160093557743,1.4871064031521002,False,2.3913018525940286,-1.613163461525132,0.2385,,-0.3804621675328085,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
40,True,,,,,71,4,4.733407307374808,2.4167852004506147,False,1.8270593777229756,-1.5045815656212491,0.0349,,-0.24170689647151403,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
41,True,,,,,1,108,-0.22065259361999778,-0.456859921827485,False,1.4116500636015732,-0.8307841998266036,0.8747,,1.2142557789954986,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
42,True,,,,,6,21,-0.2517975861806536,0.13311677215680837,False,0.44860496162133023,-0.8426562255725735,0.5519,,-0.38038977321785244,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
43,True,,,,,139,4,3.4091304871654007,1.5881254745629902,False,-0.9972721194829272,0.5750536325549048,0.0,,-0.42173390298504193,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
44,True,,,,,187,2,2.9028344943327093,2.273322628266699,False,-1.10699192225712,3.8703377285359637,0.0,,-0.44977186058281016,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
45,False,,,,,194,6,-0.44399638686413134,0.8420224932898416,True,-0.8337278068756954,0.784204497591165,0.0,,-0.4496169062377902,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
46,True,,,,,1,15,0.041673208388582,-0.3891972577567425,False,-0.7760243667894015,-0.3533555782921769,0.4288,,0.659772818890506,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
47,True,,,,,125,18,-0.3076625687810155,0.20386496302287602,False,-0.4672912669726949,0.9320138934703271,1.1949,,-0.4497520561610176,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
48,True,,,,,15,20,-0.40591179277581746,-1.0938833025750054,False,-0.6746546538126537,-0.4343976083099945,1.0465,,0.659719265126674,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
49,False,,,,,55,32,-0.4191945719013432,-0.712805492678488,False,-0.3811149242572696,0.4825329295086876,0.0,,3.156074856185883,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
50,True,,,,,1,111,-0.40118248322360645,-1.255542965505425,False,2.144286797910502,-0.317260831236073,3.0812,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
51,True,,,,,156,12,-0.2591479055248916,0.9082244555087601,False,-0.3256254096355586,0.4858841469167827,0.0,,-0.4497684905026312,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
52,True,,,,,2,20,-0.19422443094997535,-1.1970177516454976,False,-0.4830857791020182,0.7004859860793605,0.1502,,0.5210324704887697,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
53,True,,,,,123,64,-0.2029944938610424,-1.1417548314039252,False,0.20664343504120058,-0.4647831228378781,0.0,,-0.3924151068896173,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
54,False,,,,,12,48,-0.44399638686413134,-0.36915692110636217,True,0.16939911523248824,-0.7174967560961969,2.0944,,-0.4497721171527003,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-3.2846325964286947,-2.484055515111399,,False,True,True,False
55,True,,,,,62,36,0.27845570569140354,1.2227552291710204,False,0.23483980567339477,1.2382230043316043,0.0,,-0.44968988997006154,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
56,True,,,,,221,4,-0.3299263024338591,1.2254138557959173,False,-0.8817240404267959,1.2297152056723746,0.0,,-0.4491415030342695,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
57,False,,,,,7,48,2.43788402792741,1.1430162032469986,False,1.4099258971517115,-1.3177647552108127,0.0,,2.319166216835031,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
58,True,,,,,99,15,0.6391831943358586,-0.6109134231470147,False,-0.7078565680631635,-0.7138166330072316,0.0,,-0.37167589003801166,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
59,True,,,,,118,24,-0.11853905148975058,-0.728422286179498,False,-0.37661855775198766,-0.6359617882928887,5.3668,,-0.44976800510013626,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
60,True,,,,,1,50,-0.39425467287589744,-0.8711041294062268,False,-0.051464808083013555,0.018297907308273346,1.7082,,0.9370813781006391,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
61,False,,,,,7,66,-0.11689408495262636,-1.3505776429762388,False,1.0094482247375498,-0.9432272239269659,0.3153,,-0.17236665080161803,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
